2025-09-25 12:51:30.535336 Epoch [003/100], Step [0001/1150], Loss1: 0.5742 Loss2: 0.8198 Loss3: 0.5646
2025-09-25 12:52:32.030509 Epoch [003/100], Step [0050/1150], Loss1: 0.4624 Loss2: 0.7698 Loss3: 0.4363
2025-09-25 12:53:34.590550 Epoch [003/100], Step [0100/1150], Loss1: 0.3318 Loss2: 0.6174 Loss3: 0.2838
2025-09-25 12:54:37.229191 Epoch [003/100], Step [0150/1150], Loss1: 0.3455 Loss2: 0.5953 Loss3: 0.3179
2025-09-25 12:55:39.723940 Epoch [003/100], Step [0200/1150], Loss1: 0.5163 Loss2: 0.7546 Loss3: 0.4841
2025-09-25 12:56:42.637017 Epoch [003/100], Step [0250/1150], Loss1: 0.3708 Loss2: 0.7255 Loss3: 0.3544
2025-09-25 12:57:45.612394 Epoch [003/100], Step [0300/1150], Loss1: 0.5587 Loss2: 0.9745 Loss3: 0.5188
2025-09-25 12:58:48.281252 Epoch [003/100], Step [0350/1150], Loss1: 0.5226 Loss2: 0.8520 Loss3: 0.4889
2025-09-25 12:59:51.161806 Epoch [003/100], Step [0400/1150], Loss1: 0.5163 Loss2: 0.8501 Loss3: 0.4811
2025-09-25 13:00:53.910696 Epoch [003/100], Step [0450/1150], Loss1: 0.3372 Loss2: 0.5193 Loss3: 0.3092
2025-09-25 13:01:56.912156 Epoch [003/100], Step [0500/1150], Loss1: 0.4811 Loss2: 0.7441 Loss3: 0.4515
2025-09-25 13:02:59.987152 Epoch [003/100], Step [0550/1150], Loss1: 0.5319 Loss2: 0.7757 Loss3: 0.5051
2025-09-25 13:04:03.050643 Epoch [003/100], Step [0600/1150], Loss1: 0.3608 Loss2: 0.5939 Loss3: 0.3334
2025-09-25 13:05:05.878931 Epoch [003/100], Step [0650/1150], Loss1: 0.5874 Loss2: 0.8499 Loss3: 0.5661
2025-09-25 13:06:08.873614 Epoch [003/100], Step [0700/1150], Loss1: 0.5115 Loss2: 0.7834 Loss3: 0.4984
2025-09-25 13:07:11.933058 Epoch [003/100], Step [0750/1150], Loss1: 0.4258 Loss2: 0.6615 Loss3: 0.4089
2025-09-25 13:08:14.931597 Epoch [003/100], Step [0800/1150], Loss1: 0.5439 Loss2: 0.6855 Loss3: 0.5231
2025-09-25 13:09:17.925266 Epoch [003/100], Step [0850/1150], Loss1: 0.6261 Loss2: 0.8045 Loss3: 0.5882
2025-09-25 13:10:20.859098 Epoch [003/100], Step [0900/1150], Loss1: 0.4153 Loss2: 0.6411 Loss3: 0.3995
2025-09-25 13:11:23.684719 Epoch [003/100], Step [0950/1150], Loss1: 0.5730 Loss2: 0.8259 Loss3: 0.5497
2025-09-25 13:12:26.611100 Epoch [003/100], Step [1000/1150], Loss1: 0.4746 Loss2: 0.7559 Loss3: 0.4656
2025-09-25 13:13:29.574916 Epoch [003/100], Step [1050/1150], Loss1: 0.4458 Loss2: 0.6190 Loss3: 0.4163
2025-09-25 13:14:32.717528 Epoch [003/100], Step [1100/1150], Loss1: 0.3616 Loss2: 0.5488 Loss3: 0.3450
2025-09-25 13:15:35.434957 Epoch [003/100], Step [1150/1150], Loss1: 0.5236 Loss2: 0.7486 Loss3: 0.5050
2025-09-25 13:15:42.064104 Epoch [004/100], Step [0001/1150], Loss1: 0.3720 Loss2: 0.5216 Loss3: 0.3434
2025-09-25 13:16:43.717049 Epoch [004/100], Step [0050/1150], Loss1: 0.3955 Loss2: 0.6493 Loss3: 0.3499
2025-09-25 13:17:46.659759 Epoch [004/100], Step [0100/1150], Loss1: 0.3350 Loss2: 0.5220 Loss3: 0.3197
2025-09-25 13:18:49.557618 Epoch [004/100], Step [0150/1150], Loss1: 0.5332 Loss2: 0.7756 Loss3: 0.4964
2025-09-25 13:19:52.416501 Epoch [004/100], Step [0200/1150], Loss1: 0.3782 Loss2: 0.6520 Loss3: 0.3418
2025-09-25 13:20:55.311680 Epoch [004/100], Step [0250/1150], Loss1: 0.3287 Loss2: 0.6190 Loss3: 0.3060
2025-09-25 13:21:58.129106 Epoch [004/100], Step [0300/1150], Loss1: 0.2692 Loss2: 0.4661 Loss3: 0.2572
