[2025-06-25 10:51:23.241602] => [Epoch Num: 007/100] => [Global Step: 0040/0168] => [Loss: 1.9524]
[2025-06-25 10:52:34.420341] => [Epoch Num: 007/100] => [Global Step: 0060/0168] => [Loss: 1.9453]
[2025-06-25 10:53:45.702054] => [Epoch Num: 007/100] => [Global Step: 0080/0168] => [Loss: 1.9580]
[2025-06-25 10:54:56.777184] => [Epoch Num: 007/100] => [Global Step: 0100/0168] => [Loss: 1.9310]
[2025-06-25 10:56:07.958680] => [Epoch Num: 007/100] => [Global Step: 0120/0168] => [Loss: 1.9240]
[2025-06-25 10:57:18.993037] => [Epoch Num: 007/100] => [Global Step: 0140/0168] => [Loss: 1.9216]
[2025-06-25 10:58:30.263758] => [Epoch Num: 007/100] => [Global Step: 0160/0168] => [Loss: 1.9112]
[2025-06-25 10:59:01.440522] => [Epoch Num: 008/100] => [Global Step: 0000/0168] => [Loss: 1.9094]
[2025-06-25 11:00:12.430595] => [Epoch Num: 008/100] => [Global Step: 0020/0168] => [Loss: 1.9024]
[2025-06-25 11:01:23.527519] => [Epoch Num: 008/100] => [Global Step: 0040/0168] => [Loss: 1.9204]
[2025-06-25 11:02:34.560988] => [Epoch Num: 008/100] => [Global Step: 0060/0168] => [Loss: 1.8875]
[2025-06-25 11:03:45.662467] => [Epoch Num: 008/100] => [Global Step: 0080/0168] => [Loss: 1.8846]
[2025-06-25 11:04:56.954719] => [Epoch Num: 008/100] => [Global Step: 0100/0168] => [Loss: 1.8789]
[2025-06-25 11:06:08.058326] => [Epoch Num: 008/100] => [Global Step: 0120/0168] => [Loss: 1.8880]
[2025-06-25 11:07:19.261818] => [Epoch Num: 008/100] => [Global Step: 0140/0168] => [Loss: 1.8852]
[2025-06-25 11:08:30.201495] => [Epoch Num: 008/100] => [Global Step: 0160/0168] => [Loss: 1.8605]
[2025-06-25 11:09:01.370866] => [Epoch Num: 009/100] => [Global Step: 0000/0168] => [Loss: 1.8829]
[2025-06-25 11:10:12.511720] => [Epoch Num: 009/100] => [Global Step: 0020/0168] => [Loss: 1.8717]
[2025-06-25 11:11:23.623721] => [Epoch Num: 009/100] => [Global Step: 0040/0168] => [Loss: 1.9759]
[2025-06-25 11:12:34.608308] => [Epoch Num: 009/100] => [Global Step: 0060/0168] => [Loss: 1.8731]
[2025-06-25 11:13:45.741380] => [Epoch Num: 009/100] => [Global Step: 0080/0168] => [Loss: 1.8644]
[2025-06-25 11:14:56.935480] => [Epoch Num: 009/100] => [Global Step: 0100/0168] => [Loss: 1.8445]
[2025-06-25 11:16:07.917183] => [Epoch Num: 009/100] => [Global Step: 0120/0168] => [Loss: 1.8508]
[2025-06-25 11:17:19.164622] => [Epoch Num: 009/100] => [Global Step: 0140/0168] => [Loss: 1.8322]
[2025-06-25 11:18:30.090478] => [Epoch Num: 009/100] => [Global Step: 0160/0168] => [Loss: 1.8418]
[2025-06-25 11:19:01.427068] => [Epoch Num: 010/100] => [Global Step: 0000/0168] => [Loss: 1.8187]
[2025-06-25 11:20:12.429354] => [Epoch Num: 010/100] => [Global Step: 0020/0168] => [Loss: 1.8287]
[2025-06-25 11:21:23.375995] => [Epoch Num: 010/100] => [Global Step: 0040/0168] => [Loss: 1.8354]
[2025-06-25 11:22:34.508141] => [Epoch Num: 010/100] => [Global Step: 0060/0168] => [Loss: 1.8137]
[2025-06-25 11:23:45.360903] => [Epoch Num: 010/100] => [Global Step: 0080/0168] => [Loss: 1.8023]
[2025-06-25 11:24:56.455123] => [Epoch Num: 010/100] => [Global Step: 0100/0168] => [Loss: 1.8000]
[2025-06-25 11:26:07.583227] => [Epoch Num: 010/100] => [Global Step: 0120/0168] => [Loss: 1.8094]
[2025-06-25 11:27:18.446334] => [Epoch Num: 010/100] => [Global Step: 0140/0168] => [Loss: 1.8155]
[2025-06-25 11:28:29.309376] => [Epoch Num: 010/100] => [Global Step: 0160/0168] => [Loss: 1.8064]
