[2025-06-24 10:06:02 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:08:46 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:14:10 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:16:40 AM-Train.py-INFO:CCD-Train]
[2025-06-25 09:57:19 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0140/0168], Loss: 2.4707]
[2025-06-25 09:58:30 AM-Train.py-INFO:#TRAIN#:Epoch [001/100], Step [0160/0168], Loss: 2.4556]
[2025-06-25 09:59:01 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0000/0168], Loss: 2.4516]
[2025-06-25 10:00:12 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0020/0168], Loss: 2.4222]
[2025-06-25 10:01:23 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0040/0168], Loss: 2.3979]
[2025-06-25 10:02:34 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0060/0168], Loss: 2.3762]
[2025-06-25 10:03:46 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0080/0168], Loss: 2.3631]
[2025-06-25 10:04:56 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0100/0168], Loss: 2.3486]
[2025-06-25 10:06:08 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0120/0168], Loss: 2.3340]
[2025-06-25 10:07:19 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0140/0168], Loss: 2.3173]
[2025-06-25 10:08:30 AM-Train.py-INFO:#TRAIN#:Epoch [002/100], Step [0160/0168], Loss: 2.3162]
[2025-06-25 10:09:01 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0000/0168], Loss: 2.3064]
[2025-06-25 10:10:12 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0020/0168], Loss: 2.2916]
[2025-06-25 10:11:23 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0040/0168], Loss: 2.2824]
[2025-06-25 10:12:34 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0060/0168], Loss: 2.2701]
[2025-06-25 10:13:45 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0080/0168], Loss: 2.2590]
[2025-06-25 10:14:56 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0100/0168], Loss: 2.2424]
[2025-06-25 10:16:07 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0120/0168], Loss: 2.2443]
[2025-06-25 10:17:18 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0140/0168], Loss: 2.2247]
[2025-06-25 10:18:29 AM-Train.py-INFO:#TRAIN#:Epoch [003/100], Step [0160/0168], Loss: 2.2013]
[2025-06-25 10:19:00 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0000/0168], Loss: 2.1940]
[2025-06-25 10:20:11 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0020/0168], Loss: 2.1849]
[2025-06-25 10:21:22 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0040/0168], Loss: 2.1820]
[2025-06-25 10:22:33 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0060/0168], Loss: 2.1667]
[2025-06-25 10:23:44 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0080/0168], Loss: 2.1745]
[2025-06-25 10:24:56 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0100/0168], Loss: 2.1460]
[2025-06-25 10:26:07 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0120/0168], Loss: 2.1654]
[2025-06-25 10:27:18 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0140/0168], Loss: 2.1256]
[2025-06-25 10:28:29 AM-Train.py-INFO:#TRAIN#:Epoch [004/100], Step [0160/0168], Loss: 2.1330]
[2025-06-25 10:29:00 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0000/0168], Loss: 2.1110]
[2025-06-25 10:30:11 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0020/0168], Loss: 2.1022]
[2025-06-25 10:31:22 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0040/0168], Loss: 2.1240]
[2025-06-25 10:32:34 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0060/0168], Loss: 2.1124]
[2025-06-25 10:33:45 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0080/0168], Loss: 2.0758]
[2025-06-25 10:34:56 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0100/0168], Loss: 2.0834]
[2025-06-25 10:36:07 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0120/0168], Loss: 2.0859]
[2025-06-25 10:37:18 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0140/0168], Loss: 2.0705]
[2025-06-25 10:38:29 AM-Train.py-INFO:#TRAIN#:Epoch [005/100], Step [0160/0168], Loss: 2.0365]
